"Gene.Symbols","Gene.Name","Gene","AR","AD","XL","IS"
"ARHH, TTF","Ras homolog gene family, member H","RHOH",,,,
"CHRNA9","Cholinergic receptor, neuronal nicotinic, alpha polypeptide 9","CHRNA9",,,,
"APBB2, FE65L1","Amyloid beta A4 precursor protein-binding, family B, member 2 (Fe65-like 1)","APBB2",,,,
"NRCLP2","Narcolepsy 2","","N","N","N","N"
"UCHL1, PARK5, NDGOA","Ubiquitin C-terminal esterase L1","UCHL1","Y","N","N","N"
"PMX2B, NBPHOX, PHOX2B, NBLST2","Paired mesoderm homeo box 2B","PHOX2B","N","Y","N","N"
"SLC30A9, C4orf1, HUEL","Solute carrier family 30 (zinc transporter), member 9","SLC30A9",,,,
"GRXCR1","Glutaredoxin, cysteine-rich, 1","GRXCR1","Y","N","N","N"
"GNPDA2, GNP2","Glucosamine-6-phosphate deaminase 2","GNPDA2",,,,
"GABRG1","Gamma-aminobutyric acid (GABA) A receptor, gamma-1","GABRG1",,,,
"GABRA2","Gamma-aminobutyric acid (GABA) A receptor, alpha-2","GABRA2","N","N","N","N"
"COX7B2","Cytochrome C oxidase subunit VIIb2","COX7B2",,,,
"GABRA4","Gamma-aminobutyric acid (GABA) A receptor, alpha-4","GABRA4",,,,
"GABRB1","Gamma-aminobutyric acid (GABA) A receptor, beta-1","GABRB1",,,,
"COMMD8","COMM domain-containing protein 8","COMMD8",,,,
"CORIN, CRN, TMPRSS10, ATC2, PEE5","Corin, serine peptidase","CORIN","N","N","N","N"
"CNGA1, CNCG1, RP49","Cyclic nucleotide gated channel, alpha 1","CNGA1","N","N","N","N"
"TXK, BTKL","TXK tyrosine kinase","TXK",,,,
"TEC","tec protein tyrosine kinase","TEC",,,,
"SLAIN2, KIAA1458","SLAIN motif family, member 2","SLAIN2",,,,
"ZAR1","Zygote arrest 1","ZAR1",,,,
"MHW2","Mental health wellness 2","","N","N","N","N"
"PSORS3","Psoriasis susceptibility 3","PSORS3","N","N","N","N"
"WM2","Macroglobulinemia, Waldenstrom, susceptibility to, 2","","N","N","N","N"
"DFNA27","Deafness, autosomal dominant 27","DFNA27","N","Y","N","N"
"DFNB55","Deafness, autosomal recessive 55","DFNB55","Y","N","N","N"
"MRT31","Mental retardation, autosomal recessive 31","","Y","N","N","N"
"MYP9","Myopia 9","MYP9","N","N","N","N"
"TAPVR1","Total anomalous pulmonary venous return 1","TAPVR1","N","Y","N","N"
"DCUN1D4, KIAA0276","DCN1 domain-containing protein 4","DCUN1D4",,,,
"SGCB, LGMD2E","Sarcoglycan, beta (43kD dystrophin-associated glycoprotein)","SGCB","Y","N","N","N"
"SPATA18, SPETEX1","Spermatogenesis-associated protein 18","SPATA18",,,,
"USP46","Ubiquitin-specific peptidase 46","USP46",,,,
"DANCR, ANCR, KIAA0114","Differentiation-antagonizing noncoding RNA","DANCR",,,,
"MIR4449","Micro RNA 4449","MIR4449",,,,
"SNORA26","Small nucleolar RNA, H/ACA box, 26","SNORA26",,,,
"RASL11B","RAS-like, family 11, member B","RASL11B",,,,
"FIP1L1","Fip1-like 1","FIP1L1",,,,
"LNX1, LNX, PDZRN2","Ligand of numb protein X1","LNX1",,,,
"CHIC2, BTL","Cysteine-rich hydrophobic domain 2 (Brx-like gene translocated in leukemia)","CHIC2","N","Y","N","N"
"GSX2, GSH2","GS homeobox 2","GSX2",,,,
"PDGFRA","Platelet-derived growth factor receptor, alpha polypeptide","PDGFRA","N","N","N","Y"
"KIT, PBT","Hardy-Zuckerman 4 feline sarcoma (v-kit) oncogene","KIT","N","Y","N","Y"
"KDR","Kinase insert domain receptor","KDR","N","Y","N","N"
"SRD5A3, SRD5A2L, CDG1Q, KRIZI","Steroid 5-alpha-reductase 3","SRD5A3","Y","N","N","N"
"TMEM165, FT27, CDG2K","Transmembrane protein 165","TMEM165","Y","N","N","N"
"CLOCK","Circadian locomotor output cycles kaput","CLOCK",,,,
"PDCL2","Phosducin-like 2","PDCL2",,,,
"EXOC1, SEC3","Exocyst complex component 1","EXOC1",,,,
"CEP135, KIAA0635, MCPH8","Centrosomal protein, 135kD","CEP135","Y","N","N","N"
"AASDH, ACSF4","Aminoadipate-semialdehyde dehydrogenase","AASDH",,,,
"PPAT, GPAT","Phosphoribosylpyrophosphate amidotransferase","PPAT",,,,
"PAICS, AIRC","Phosphoribosylaminoimidazole carboxylase","PAICS",,,,
"SRP72, BMFS1","Signal recognition particle, 72kD","SRP72","N","Y","N","N"
"ARL9","ADP-ribosylation factor-like 9","ARL9",,,,
"HOPX, HOP","HOP homeobox","HOPX",,,,
"SPINK2","Serine protease inhibitor, Kazal-type, 2","SPINK2",,,,
"REST, NRSF, WT6","RE1-silencing transcription factor","REST","N","N","N","N"
"NOA1, C4orf14","Nitric oxide-associated protein 1","NOA1",,,,
"POL2RB","Polymerase (RNA) II (DNA directed) polypeptide B, 140kD","POLR2B",,,,
"IGFBP7, MAC25, RAMSVPS","Insulin-like growth factor-binding protein-7","IGFBP7","Y","N","N","N"
"AIS4, VAMAS5","Autoimmune disease, susceptibility to, 4","","N","N","N","N"
"ADGRL3, LPHN3, CIRL3, CL3, LEC3, KIAA0768","Adhesion G protein-coupled receptor L3","ADGRL3",,,,
"EPHA5, TYRO4, HEK7","Ephrin receptor EphA5","EPHA5",,,,
"ETL3, FMTLE","Epilepsy, familial temporal lobe, 3","","N","Y","N","N"
"CENPC1, CENPC","Centromere autoantigen C1","CENPC",,,,
"STAP1, BRDG1","Signal transducing adaptor family member 1","STAP1",,,,
"UBA6, UBE1L2","Ubiquitin activating enzyme 6","UBA6",,,,
"GNRHR, LHRHR, HH7","Gonadotropin-releasing hormone receptor","GNRHR","Y","N","N","N"
"TMPRSS11A, ECRG1","Transmembrane protease, serine 11A","TMPRSS11A",,,,
"GRINL1B","Glutamate receptor, ionotropic, N-methyl D-aspartate-like 1B","GCOM2",,,,
"SYT14L, SYTDEP, CHR415SYT","Synaptotagmin 14-like protein","SYT14P1",,,,
"TMPRSS11E, DESC1","Transmembrane protease, serine 11E","TMPRSS11E",,,,
"UGT2B17, BMND12","UDP-glucuronyltransferase, family 2, beta-17","UGT2B17","N","N","N","N"
"UGT2B15, UGT2B8","UDP-glucuronyltransferase, family 2, beta-15","UGT2B15",,,,
"UGT2B10","Uridine diphosphate glycosyltransferase 2 family, member B10","UGT2B10",,,,
"UGT2A3","Uridine diphosphate glucuronosyltransferase 2 family, member A3","UGT2A3",,,,
"UGT2B7, UGT2B9","UDP-glucuronyltransferase, family 2, beta-7","UGT2B7",,,,
"UGT2B11","Uridine diphosphate glycosyltransferase 2 family, member B11","UGT2B11",,,,
"UGT2B28","Uridine diphosphate glycosyltransferase 2 family, member B28","UGT2B28",,,,
"UGT2B4, UGT2B11","UDP-glucuronyltransferase, family 2, beta-4","UGT2B4",,,,
"UGT2A1","Uridine diphosphate glycosyltransferase 2 family, member A1","UGT2A1",,,,
"SULT1B1, ST1B2","Sulfotransferase family 1B, member 1","SULT1B1",,,,
"STE, EST","Sulfotransferase, estrogen-preferring","SULT1E1",,,,
"CSN1","Casein, alpha","CSN1S1",,,,
"CSN2","Casein, beta","CSN2",,,,
"STATH","Statherin","STATH",,,,
"HTN3, HTN2, HIS2","Histatin-3","HTN3",,,,
"HTN1","Histatin-1","HTN1",,,,
"ODAM, APIN","Odontogenic ameloblast-associated protein","ODAM",,,,
"CSN3, CNS10, CSNK","Casein, kappa","CSN3",,,,
"SMR3B, SMR1B, PRL3, PBII","Submaxillary gland androgen-regulated protein 3, mouse, homolog of, B","SMR3B",,,,
"PROL1, PRL1, BPLP","Proline-rich lacrimal protein 1","OPRPN",,,,
"MUC7","Mucin 7, salivary","MUC7","N","Y","N","N"
"AMTN","Amelotin","AMTN",,,,
"AMBN, AI1F","Ameloblastin","AMBN","Y","N","N","N"
"ENAM, AIH2, AI1C","Enamelin","ENAM","Y","Y","N","N"
"IGJ","Immunoglobulin J polypeptide, linker protein for","JCHAIN",,,,
"UTP3, CRL1, CRLZ1","UTP3, S. crevisiae, homolog of","UTP3",,,,
"RUFY3, SINGAR1, RIPX","FUN and FYVE domains-containing protein 3","RUFY3",,,,
"GRSF1","G-rich RNA sequence-binding factor 1","GRSF1",,,,
"DCK","Deoxycytidine kinase","DCK",,,,
"SLC4A4, NBC1, KNBC","Solute carrier family 4, sodium bicarbonate cotransporter, member 4","SLC4A4","Y","N","N","N"
"GC, DBP","Group-specific component (vitamin D-binding protein)","GC",,,,
"GPR74, NPFF2, NPGPR","G protein-coupled receptor 74","NPFFR2",,,,
"ADAMTS3","A Disintegrin-like and metalloproteinase with thrombospondin type 1 motif, 3","ADAMTS3",,,,
"COX18","Cytochrome c oxidase assembly protein COX18","COX18",,,,
"ANKRD17, GTAR","Ankyrin repeat domain-containing protein 17","ANKRD17",,,,
"ALB, ANALBA, FDAH","Albumin","ALB","N","N","N","N"
"AFP, HPAFP, AFPD","Alpha-fetoprotein","AFP","Y","Y","N","N"
"AFM, ALBA, ALB2","Afamin","AFM",,,,
"RASSF6","Ras association domain family, member 6","RASSF6",,,,
"IL8","Interleukin-8","CXCL8",,,,
"CXCL6, SCYB6, GCP2","Chemokine, C-X-C motif, ligand 6 (granulocyte chemotactic protein-2)","CXCL6",,,,
"PPBPL1, TGB2","Pro-platelet basic protein-like 1 (thromboglobulin, beta-2)","PPBPP1",,,,
"PF4V1","Platelet factor 4, variant 1 (PF4-like)","PF4V1",,,,
"CXCL1, GRO1, MGSA","Chemokine, C-X-C, ligand 1 (GRO1 oncogene; melanoma growth stimulating activity, alpha)","CXCL1",,,,
"PF4","Platelet factor 4","PF4",,,,
"PPBP, CXCL7, SCYB7, CTAP3, TGB","Pro-platelet basic protein","PPBP",,,,
"CXCL5, SCYB5, ENA78","Chemokine, C-X-C motif, ligand 5 (epithelial-derived neutrophil-activating peptide 78)","CXCL5",,,,
"CXCL3, GRO3, MIP2B","Chemokine, C-X-C motif, ligand 3 (GRO3 oncogene)","CXCL3",,,,
"PPBPL2","Pro-platelet basic protein-like 2","PPBPP2",,,,
"CXCL2, GRO2, MIP2A","Chemokine, C-X-C motif, ligand 2 (GRO2 oncogene)","CXCL2",,,,
"MTHFD2L","Methylenetetrahydrofolate dehydrogenase 2-like, NADP(+)-dependent","MTHFD2L",,,,
"AREG","Amphiregulin","AREG",,,,
"BTC","Betacellulin","BTC",,,,
"DEL4q21, C4DELq21","Chromosome 4q21 deletion syndrome","","N","N","N","Y"
"FECB","Fecundity gene, Boorla, of sheep, homolog of","",,,,
"OFC4","Orofacial cleft 4","","N","N","N","N"
"RCHY1, ZNF363, PIRH2, ARNIP","Ring finger and CHY zinc finger domain containing 1, E3 ubiquitin protein ligase","RCHY1",,,,
"THAP6","THAP domain-containing protein 6","THAP6",,,,
"C4orf26, AI2A4","Chromosome 4 open reading frame 26","C4orf26","Y","N","N","N"
"CDKL2, KKIAMRE, P56","Cyclin-dependent kinase-like 2","CDKL2",,,,
"USO1, TAP, p115","USO1 vesicle docking protein, S. cerevisiae, homolog of","USO1",,,,
"PPEF2","Protein phosphatase, EF hand calcium-binding domain-2","PPEF2",,,,
"NAAA, ASAHL","N-acylethanolamine acid amidase","NAAA",,,,
"CXCL9, MIG, SCYB9","Chemokine, C-X-C motif, ligand 9","CXCL9",,,,
"ART3","ADP-ribosyltransferase 3","ART3",,,,
"CXCL10, INP10","Chemokine, C-X-C motif, ligand 10 (interferon-inducible cytokine IP-10)","CXCL10",,,,
"CXCL11, SCYB11, IP9, CXCL11, SCYB9B","Chemokine, C-X-C motif, ligand 11","CXCL11",,,,
"NUP54","Nucleoporin, 54kD","NUP54",,,,
"SCARB2, CD36L2, LIMPII, AMRF, EPM4","Scavenger receptor class B, member 2","SCARB2","Y","N","N","N"
"GENEX3414","Genethonin 1","STBD1",,,,
"SHROOM3, SHRM, KIAA1481","Shroom family member 3","SHROOM3",,,,
"SEPT11","Septin 11","SEPT11",,,,
"CCNG2","Cyclin G2","CCNG2",,,,
"CXCL13, SCYB13, BCA1, BLC","Chemokine, C-X-C motif, ligand 13","CXCL13",,,,
"MRPL1","Mitochondrial ribosomal protein L1","MRPL1",,,,
"FRAS1","FRAS1 gene","FRAS1","Y","N","N","N"
"ANXA3, ANX3","Annexin A3 (lipocortin III)","ANXA3",,,,
"PAQR3, RKTG","Progestin and ADIPOQ receptor family, member 3","PAQR3",,,,
"PCAT4, GDEP","Prostate cancer-associated transcript 4","PCAT4",,,,
"ANTXR2, CMG2, HFS","Anthrax toxin receptor 2","ANTXR2","Y","N","N","N"
"PRDM8, EPM10","PR domain-containing protein 8","PRDM8","Y","N","N","N"
"FGF5, TCMGLY","Fibroblast growth factor-5","FGF5","Y","N","N","N"
"BMP3","Bone morphogenetic protein-3","BMP3",,,,
"PRKG2, PRKGR2","Protein kinase, cGMP-dependent, type II","PRKG2",,,,
"RASGEF1B, GPIG4","RASGEF domain family, member 1B","RASGEF1B",,,,
"HNRPD, AUF1, AUF1A","Heterogeneous nuclear ribonucleoprotein D","HNRNPD",,,,
"HNRNPDL, HNRPDL, JKTBP, LGMD1G","Heterogeneous nuclear ribonucleoprotein D-like protein","HNRNPDL","N","Y","N","N"
"SCD4, ACOD4","Stearoyl-CoA desaturase 4","SCD5",,,,
"SEC31A, SEC31L1, KIAA0905","Sec31, yeast, homolog of, A","SEC31A",,,,
"THAP9","THAP domain-containing protein 9","THAP9",,,,
"LIN54","Lin54, C. elegans, homolog of","LIN54",,,,
"COPS4, CSN4","COP9 signalosome, subunit 4","COPS4",,,,
"PLAC8","Placenta-specific gene 8","PLAC8",,,,
"COQ2, COQ10D1, MSA1","CoQ2, S. cerevisiae, homolog of (parahydroxybenzoate-polyprenyltransferase, mitochondrial)","COQ2","Y","Y","N","N"
"HPSE, HSE1, HPA","Heparanase","HPSE",,,,
"HELQ, HEL308","Helicase, POLQ-like","HELQ",,,,
"MRPS18C, MRPS18-1","Mitochondrial ribosomal protein S18C","MRPS18C",,,,
"FAM175A, CCDC98, ABRAXAS, ABRA1","Family with sequence similarity 175, member A","FAM175A",,,,
"AGPAT9, GPAT3, MAG1","1-acylglycerol-3-phosphate O-acyltransferase 9","GPAT3",,,,
"NKX6A","NK homeo box, family 6, member A","NKX6-1",,,,
"CDS1","CDP-diacylglycerol synthase 1","CDS1",,,,
"ARHGAP24, RCGAP72, FILGAP","RHO GTPase-activating protein 24","ARHGAP24",,,,
"MAPK10, PRKM10, JNK3","Mitogen-activated protein kinase 10","MAPK10",,,,
"PTPN13","Protein tyrosine phosphatase, nonreceptor-type, 13 (APO-1/CD95 (Fas)-associated phosphatase)","PTPN13",,,,
"SLC10A6, SOAT","Solute carrier family 10 (sodium/bile acid cotransporter family), member 6","SLC10A6",,,,
"AFF1, MLLT2, AF4","AF4/FMR2 family, member 1","AFF1",,,,
"ATOD8","Dermatitis, atopic, 8","","N","N","N","N"
"MUSQTL1","Musical aptitude quantitative trait locus 1","","N","N","N","N"
"MYP11","Myopia 11","MYP11","N","N","N","N"
"KLHL8, KIAA1378","Kelch-like 8","KLHL8",,,,
"HSD17B13, SCDR9","17-beta-hydroxysteroid dehydrogenase XIII","HSD17B13",,,,
"HSD17B11, RETSDR2, PAN1B","17-beta-hydroxysteroid dehydrogenase XI","HSD17B11",,,,
"DSPP, DPP, DGI1, DFNA39, DTDP2","Dentin sialophosphoprotein","DSPP","N","Y","N","N"
"DMP1, ARHR, ARHP","Dentin matrix acidic phosphoprotein","DMP1","Y","N","N","N"
"IBSP","Integrin-binding sialoprotein (bone sialoprotein II)","IBSP",,,,
"MEPE","Matrix, extracellular, phosphoglycoprotein","MEPE",,,,
"SPP1, OPN","Secreted phosphoprotein-1 (osteopontin, bone sialoprotein)","SPP1",,,,
"PKD2","Polycystin-2","PKD2","N","N","N","N"
"ABCG2, BCRP, ABCP, UAQTL1, GOUT1","ATP-binding cassette, subfamily G, member 2","ABCG2","N","Y","N","N"
"PPM1K, PP2CM, PTMP, MSUDMV","Protein phosphatase, PP2C domain-containing, 1K","PPM1K","N","N","N","N"
"HERC5, CEB1","HECT domain and RCC1-like domain 5","HERC5",,,,
"PIGY, HPMRS6","Phosphatidylinositol glycan, class Y","PIGY","Y","N","N","N"
"HERC3","HECT domain and RCC1-like domain 3","HERC3",,,,
"NAP1L5, DRLM","Nucleosome assembly protein 1-like 5","NAP1L5",,,,
"FAM13AOS, FAM13A1OS","FAM13A opposite strand","FAM13A-AS1",,,,
"FAM13A, FAM13A1, KIAA0914","Family with sequence similarity 13, member A","FAM13A",,,,
"TIGD2","TIGGER transposable element-derived gene 2","TIGD2",,,,
"GPRIN3, GRIN3","G protein-regulated inducer of neurite outgrowth 3","GPRIN3",,,,
"SNCA, NACP, PARK1, PARK4","Synuclein, alpha (non A4 component of amyloid precursor)","SNCA","N","Y","N","N"
"GRID2, SCAR18","Glutamate receptor, ionotropic, delta-2","GRID2","Y","N","N","N"
"ATOH1, ATH1","Atonal, Drosophila, homolog of, 1","ATOH1",,,,
"SMARCAD1, KIAA1122, ETL1, HEL1, ADERM","SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily A, DEAD/H box-containing, 1","SMARCAD1","N","Y","N","N"
"HPGDS, PGDS","Prostaglandin D2 synthase, hematopoietic","HPGDS",,,,
"ENH","Enigma-like LIM domain protein","PDLIM5",,,,
"BMPR1B, ALK6, AMDD, BDA2, BDA1D","Bone morphogenetic protein receptor, type IB","BMPR1B","Y","Y","N","N"
"UNC5C, UNC5H3","UNC5, C. elegans, homolog of, C","UNC5C",,,,
"PDHA2","Pyruvate dehydrogenase, E1-alpha polypeptide, testis specific form","PDHA2",,,,
"TYS, HRZ","Sclerotylosis","TYS","N","Y","N","N"
"RAP1GDS1","RAP1, GTP-GDP dissociation stimulator 1","RAP1GDS1","N","N","N","N"
"TSPAN5, NET4","Tetraspanin 5","TSPAN5",,,,
"EIF4E, EIF4EL1, AUTS19","Eukaryotic translation initiation factor 4E","EIF4E","N","N","N","N"
"METAP1, KIAA0094","Methionyl aminopeptidase 1","METAP1",,,,
"ADH5, FDH","Alcohol dehydrogenase (class III), chi polypeptide","ADH5",,,,
"ADH4","Alcohol dehydrogenase (class II), pi polypeptide","ADH4",,,,
"ADH6","Alcohol dehydrogenase 6 (aldehyde reductase)","ADH6",,,,
"ADH1A, ADH1","Alcohol dehydrogenase IA (class I), alpha polypeptide","ADH1A",,,,
"ADH1B, ADH2","Alcohol dehydrogenase IB (class I), beta polypeptide","ADH1B","N","N","N","N"
"ADH1C, ADH3","Alcohol dehydrogenase IC (class I), gamma polypeptide","ADH1C","N","N","N","Y"
"ADH7","Alcohol dehydrogenase-7","ADH7",,,,
"TRMT10A, RG9MTD2, MSSGM1","tRNA methyltransferase 10, S. cerevisiae, homolog of, A","TRMT10A","Y","N","N","N"
"MTP","Microsomal triglyceride transfer protein, 88kD","MTTP","Y","N","N","N"
"DAPP1, BAM32","Dual adaptor of phosphotyrosine and 3-phosphoinositides 1","DAPP1",,,,
"LAMTOR3, MP1, MAPBP","Late endocomal/lysosomal adaptor, mitogen-activated protein kinase and mammalian target of rapamycin activator 3","LAMTOR3",,,,
"H2AZ","H2AZ histone","H2AFZ",,,,
"HWE2","Epilepsy, hot water, 2","","N","N","N","N"
"MGR1, MA","Migraine with or without aura, susceptibility to, 1","","N","Y","N","N"
"OCA5","Albinism, oculocutaneous, type V","OCA5","Y","N","N","N"
"DDIT4L, REDD2","DNA damage-inducible transcript 4-like","DDIT4L",,,,
"PPP3CA, PPP2B, CALNA, CNA1","Protein phosphatase-3 (formerly 2B), catalytic subunit, alpha isoform (calcineurin A alpha)","PPP3CA",,,,
"BANK1, FLJ20706, BANK","B-cell scaffold protein with ankyrin repeats 1","BANK1",,,,
"SLC39A8, BIGM103, CDG2N","Solute carrier family 39 (zinc transporter), member 8","SLC39A8","Y","N","N","N"
"NFKB1, CVID12","Nuclear factor of kappa light chain gene enhancer in B-cells 1 (p105)","NFKB1","N","Y","N","N"
"MANBA, MANB1","Mannosidase, beta A, lysosomal","MANBA","Y","N","N","N"
"UBE2D3, UBCH5C","Ubiquitin-conjugating enzyme E2D 3","UBE2D3",,,,
"CISD2, WFS2, ZCD2, ERIS","CDGSH iron sulfur domain protein 2","CISD2","Y","N","N","N"
"NHEDC1","Na+/H+ exchanger domain-containing protein 1","SLC9B1",,,,
"NHEDC2, NHA2","NA+/H+ exchanger domain-containing protein 2","SLC9B2",,,,
"CENPE, MCPH13","Centromere autoantigen E, 312kD","CENPE","Y","N","N","N"
"TACR3, NK3R, HH11","Tachykinin receptor 3","TACR3","Y","N","N","N"
"CXXC4, IDAX","CXXC finger protein 4","CXXC4",,,,
"TET2, KIAA1546, MDS","TET oncogene family, member 2","TET2","N","N","N","N"
"PPA2","Pyrophosphatase, inorganic, 2","PPA2",,,,
"INTS12, INT12","Integrator complex subunit 12","INTS12",,,,
"GSTCD","Glutathione S-transferase C-terminal domain-containing protein","GSTCD",,,,
"NPNT, POEM","Nephronectin","NPNT",,,,
"TBCK, IHPRF3","TBC1 domain-containing kinase","TBCK","Y","N","N","N"
"AIMP1, SCYE1, EMAP2, EMAPII, HLD3","ARS-interacting multifunctional protein 1","AIMP1","Y","N","N","N"
"ATFB5","Atrial fibrillation, familial, 5","","N","N","N","N"
"LGV1","Longevity 1, QTL","","N","N","N","N"
"PAPSS1, ATPSK1","3'-phosphoadenosine 5'-phosphosulfate synthase 1 (ATP sulfurylase/APS kinase-1)","PAPSS1",,,,
"SGMS2, SMS2","Sphingomyelin synthase 2","SGMS2",,,,
"CYP2U1, SPG56","Cytochrome P450, family 2, subfamily U, polypeptide 1","CYP2U1","Y","N","N","N"
"HADHSC, SCHAD, HHF4","L-3-hydroxyacyl-CoA dehydrogenase, short chain","HADH","Y","N","N","N"
"LEF1","Lymphoid enhancer-binding factor-1","LEF1","N","N","N","N"
"RPL34","Ribosomal protein L34","RPL34",,,,
"AGXT2L1","Alanine-glyoxylate aminotransferase 2-like 1","ETNPPL",,,,
"COL25A1, CLAC, CFEOM5","Collagen, type XXV, alpha-1 polypeptide","COL25A1","Y","N","N","N"
"SEC24B","Sec24-related gene family, member B","SEC24B",,,,
"CASP6, MCH2","Caspase 6, apoptosis-related cysteine protease","CASP6",,,,
"PLA2G12A, GXII, ROSSY","Phospholipase A2, Group XIIA","PLA2G12A",,,,
"CFI, FI, AHUS3, ARMD13","Complement factor I","CFI","Y","Y","N","N"
"NOLA1, GAR1","Nucleolar protein family A, member 1","GAR1",,,,
"RRH","Rhodopsin homolog, retinal pigment epithelium-derived (peropsin)","RRH",,,,
"LRIT3, FIGLER4, CSNB1F","Leucine-rich repeat, immunoglobulin-like, and transmembrane domains-containing protein 3","LRIT3","Y","N","N","N"
"EGF, URG, HOMG4","Epidermal growth factor (urogastrone)","EGF","N","N","N","N"
"ELOVL6, LCE, FACE","Elongation of very long chain fatty acids-like 6","ELOVL6",,,,
"ENPEP","Glutamyl aminopeptidase (aminopeptidase A)","ENPEP",,,,
"PITX2, IDG2, RIEG1, RGS, IGDS2","Paired-like homeodomain transcription factor-2","PITX2","N","Y","N","N"
"MIR297","Micro RNA 297","MIR297",,,,
"C4orf16, GBAR, 2C18","Gamma-1 adaptin brefeldin-A resistance protein","AP1AR",,,,
"ALPK1, LAK, KIAA1527","Alpha-kinase 1","ALPK1",,,,
"NEUROG2, NGN2, ATOH4","Neurogenin 2","NEUROG2",,,,
"LARP7, PIP7S, ALAZS","La ribonucleoprotein domain family, member 7","LARP7","Y","N","N","N"
"MIR367","Micro RNA 367","MIR367",,,,
"MIR302D","Micro RNA 302D","MIR302D",,,,
"MIR302A","Micro RNA 302A","MIR302A",,,,
"MIR302C","Micro RNA 302C","MIR302C",,,,
"MIR302B","Micro RNA 302B","MIR302B",,,,
"ANK2, LQT4","Ankyrin-2, nonerythrocytic","ANK2","N","Y","N","N"
"CAMK2D","Calcium/calmodulin-dependent protein kinase II-delta","CAMK2D",,,,
"ARSJ","Arylsulfatase J","ARSJ",,,,
"UGT8, CGT","UDP glycosyltransferase 8 (cerebroside synthase)","UGT8",,,,
"NDST4","N-deacetylase/N-sulfotransferase 4","NDST4",,,,
"PRSS12, BSSP3, MRT1","Protease, serine, 12","PRSS12","Y","N","N","N"
"METTL14, KIAA1627","Methyltransferase-like 14","METTL14",,,,
"SEC24D, KIAA0755, CLCRP2","Sec24-related gene family, member D","SEC24D","Y","N","N","N"
"MYOZ2, CMH16","Myozenin 2","MYOZ2","N","Y","N","N"
"FABP2","Fatty acid-binding protein, intestinal","FABP2",,,,
"PDE5A","Phosphodiesterase 5A","PDE5A",,,,
"CELIAC6, AIS5","Celiac disease, susceptibility to, 6","","N","N","N","N"
"IDDM23","Diabetes mellitus, insulin-dependent, 23","","N","N","N","N"
"MRT29","Mental retardation, autosomal recessive 29","","Y","N","N","N"
"MAD2L1","Mitotic arrest deficient, yeast, homolog-like 1","MAD2L1",,,,
"PRDM5, BCS2","PR domain-containing protein 5","PRDM5","Y","N","N","N"
"NDNF, C4orf31, NORD","Neuron-derived neurotrophic factor","NDNF",,,,
"ANXA5, ENX2, RPRGL3","Annexin A5 (endonexin II)","ANXA5","N","Y","N","N"
"EXOSC9, PMSCL1","Exosome component 9","EXOSC9",,,,
"CCNA, CCN1","Cyclin A","CCNA2",,,,
"BBS7","BBS7 gene","BBS7","Y","N","N","N"
"TRPC3, TRP3, SCA41","Transient receptor potential cation channel, subfamily C, member 3","TRPC3","N","Y","N","N"
"KIAA1109","KIAA1109 gene","KIAA1109",,,,
"ADAD1, TENR","Adenosine deaminase domain-containing protein 1, testis-specific","ADAD1",,,,
"IL2","Interleukin-2","IL2","N","N","N","N"
